time,x,y,dx,dy
0.92331,3.8354,0.014524,0,0
1.3475,3.8354,0.014531,5.463e-06,6.4527e-06
2.3202,3.8354,0.014523,-5.7736e-05,-7.7981e-06
3.3584,3.8354,0.014491,2.1205e-05,-3.2488e-05
4.3297,3.8354,0.014507,-1.8668e-05,1.6152e-05
5.3536,3.8353,0.014469,-4.74e-05,-3.7479e-05
6.3628,3.8354,0.014502,4.3719e-05,3.2676e-05
7.3334,3.8354,0.014494,2.5955e-05,-8.1448e-06
8.3457,3.8354,0.014533,2.1114e-05,3.8954e-05
9.3381,3.835,0.014717,-0.0004013,0.00018404
10.364,3.8353,0.014776,0.00024962,5.9153e-05
11.363,3.8354,0.014539,0.0001747,-0.00023665
12.395,3.8179,0.01284,-0.017494,-0.0016996
13.363,3.7895,0.011875,-0.028458,-0.00096462
14.374,3.7566,0.012729,-0.032857,0.00085395
15.404,3.7207,0.014945,-0.035914,0.0022162
16.399,3.6863,0.016921,-0.034387,0.0019757
17.383,3.6521,0.017237,-0.03427,0.00031613
18.354,3.6165,0.017616,-0.035576,0.00037863
19.364,3.5816,0.017785,-0.034901,0.00016967
20.372,3.5465,0.018003,-0.035124,0.00021821
21.386,3.5093,0.018925,-0.037125,0.00092135
22.354,3.4774,0.021129,-0.031912,0.0022046
23.335,3.4451,0.023486,-0.032358,0.0023561
24.387,3.4096,0.025963,-0.035469,0.002477
25.346,3.3751,0.026929,-0.03449,0.00096608
26.383,3.3361,0.027794,-0.038981,0.00086485
27.392,3.2951,0.030684,-0.041045,0.00289
28.354,3.2569,0.033461,-0.038179,0.0027778
29.406,3.2177,0.035234,-0.039236,0.001773
30.357,3.1829,0.037033,-0.034789,0.0017986
31.409,3.146,0.039171,-0.036859,0.0021383
32.342,3.1118,0.042163,-0.034224,0.0029918
33.347,3.0733,0.04577,-0.038471,0.0036074
34.383,3.0371,0.048869,-0.036249,0.003099
35.361,3.0131,0.053152,-0.02394,0.0042824
36.338,2.9836,0.06373,-0.029486,0.010578
37.376,2.9418,0.069563,-0.041865,0.0058329
38.361,2.8938,0.052893,-0.047949,-0.016669
39.361,2.8652,0.053745,-0.028651,0.00085165
40.405,2.8251,0.056384,-0.040045,0.0026392
41.413,2.7876,0.059582,-0.037553,0.0031979
42.401,2.75,0.062561,-0.037573,0.0029785
43.344,2.7129,0.065618,-0.037127,0.0030573
44.349,2.6735,0.068595,-0.039351,0.0029775
45.392,2.6308,0.071964,-0.042716,0.0033689
46.331,2.5923,0.076655,-0.038473,0.0046904
47.355,2.5495,0.083939,-0.042794,0.0072845
48.34,2.509,0.089911,-0.040525,0.0059715
49.346,2.4688,0.094177,-0.040235,0.0042669
50.348,2.431,0.097221,-0.037815,0.0030439
51.387,2.3916,0.099615,-0.039416,0.0023933
52.374,2.3521,0.10168,-0.039489,0.0020632
53.34,2.3135,0.10399,-0.038584,0.0023115
54.365,2.272,0.10627,-0.041499,0.002276
55.347,2.2317,0.1093,-0.040279,0.0030302
56.35,2.1917,0.11313,-0.04002,0.003839
57.394,2.155,0.11766,-0.036644,0.0045273
58.367,2.1216,0.12193,-0.033399,0.0042689
59.353,2.0881,0.12599,-0.033541,0.0040616
60.387,2.0495,0.12864,-0.038601,0.0026429
61.357,2.0105,0.12896,-0.039029,0.00032913
62.375,1.9696,0.12956,-0.040849,0.00059284
63.356,1.9295,0.13083,-0.040146,0.0012761
64.336,1.8904,0.13191,-0.0391,0.0010817
65.386,1.8502,0.13322,-0.040153,0.0013051
66.347,1.8141,0.13406,-0.036079,0.00083984
67.339,1.776,0.13599,-0.038174,0.001929
68.373,1.7362,0.13779,-0.039795,0.0018053
69.4,1.6986,0.14033,-0.037542,0.0025367
70.343,1.6626,0.14269,-0.036002,0.0023618
71.372,1.6225,0.14491,-0.040084,0.0022131
72.363,1.5839,0.14805,-0.038616,0.0031464
73.373,1.546,0.15207,-0.037968,0.0040163
74.344,1.5108,0.1561,-0.035135,0.0040302
75.382,1.4733,0.16022,-0.037472,0.0041192
76.354,1.438,0.16385,-0.035338,0.0036288
77.392,1.3991,0.16711,-0.038897,0.003268
78.384,1.3644,0.16932,-0.034671,0.0022005
79.399,1.3387,0.17515,-0.025752,0.0058306
80.397,1.3091,0.18155,-0.029627,0.0064031
81.477,1.2657,0.18646,-0.043404,0.004907
82.378,1.2145,0.18457,-0.051126,-0.0018882
83.386,1.1756,0.18653,-0.038949,0.0019624
84.401,1.1374,0.19165,-0.038179,0.0051195
85.443,1.1105,0.20345,-0.02687,0.011798
86.516,1.0721,0.21344,-0.03842,0.009989
87.447,1.0189,0.22047,-0.053231,0.0070306
88.388,0.98338,0.22272,-0.035505,0.002251
89.367,0.9491,0.22825,-0.034283,0.005535
90.42,0.9123,0.2348,-0.036794,0.0065466
91.371,0.87024,0.24363,-0.04206,0.0088256
92.328,0.83041,0.2478,-0.039828,0.00417
93.349,0.79017,0.24681,-0.04024,-0.00098115
94.386,0.75631,0.25019,-0.033862,0.0033735
95.359,0.72669,0.25544,-0.029616,0.0052551
96.328,0.71706,0.26122,-0.0096338,0.0057767
97.368,0.70436,0.26673,-0.012702,0.0055119
98.378,0.68555,0.27198,-0.018806,0.0052453
99.341,0.66211,0.27668,-0.023446,0.0047001
100.35,0.62824,0.2852,-0.033871,0.0085245
101.34,0.58212,0.30086,-0.046112,0.01566
102.33,0.52969,0.30748,-0.05243,0.0066195
103.33,0.46784,0.30795,-0.061852,0.00047091
104.34,0.412,0.30751,-0.055846,-0.00043674
105.35,0.36776,0.31125,-0.044235,0.0037365
106.33,0.32559,0.31631,-0.042168,0.0050583
107.39,0.30133,0.31923,-0.024267,0.002921
108.36,0.28461,0.32256,-0.016716,0.0033331
109.35,0.26511,0.32847,-0.019498,0.0059059
110.32,0.24137,0.33581,-0.023742,0.0073382
111.36,0.21368,0.34369,-0.027692,0.0078827
112.36,0.1853,0.35231,-0.028379,0.0086182
113.36,0.14919,0.36005,-0.036107,0.0077466
114.32,0.10806,0.36433,-0.041131,0.004271
115.37,0.059181,0.36623,-0.04888,0.0019082
116.33,-0.031188,0.34599,-0.090369,-0.020242
117.33,-0.03993,0.34495,-0.0087421,-0.0010434
118.36,-0.07212,0.34538,-0.03219,0.00043051
119.35,-0.10862,0.34689,-0.036503,0.0015157
120.36,-0.14705,0.34905,-0.038429,0.0021528
121.34,-0.18328,0.35196,-0.036225,0.0029163
122.32,-0.22131,0.35525,-0.038033,0.0032848
123.34,-0.24033,0.35581,-0.019015,0.0005597
124.3,-0.2402,0.35592,0.00012258,0.00011422
125.31,-0.24015,0.35595,5.7349e-05,2.8516e-05
126.33,-0.24024,0.35589,-9.4285e-05,-6.0764e-05
127.35,-0.24004,0.35596,0.0001982,6.6142e-05
